date,JPM,BAC,ratio,ins_ratio,long_mean,long_std,z_score
2021-05-19,161.11,41.97,3.8386943054562788,3.8548174996899354,3.95850195072377,0.14210129649233377,-0.7296516892752508
2021-05-20,160.83,41.87,3.8411750656794847,3.8510639851011668,3.952308964142049,0.1388935762166523,-0.7289392482986806
2021-05-21,162.66,42.4,3.836320754716981,3.8439655298122686,3.946120544398558,0.13555678151788778,-0.7535957511119363
2021-05-24,163.54,42.63,3.836265540699038,3.8406524236329376,3.939391828811149,0.130653899366053,-0.7557325549203349
2021-05-25,161.85,42.01,3.852654129969055,3.8410219593041672,3.9335179773217166,0.12635813821569614,-0.7320147267416731
2021-05-26,161.83,42.04,3.8494291151284497,3.8431689212386018,3.927307364909912,0.12097857495960404,-0.6954821851671245
2021-05-27,164.35,42.55,3.862514688601645,3.847436845823034,3.9217073214168092,0.11588091155624239,-0.6409207055445745
2021-05-28,164.24,42.39,3.8744987025241806,3.8550724353844736,3.9175334413447236,0.1129089975385834,-0.5531977727364527
2021-06-01,166.05,42.92,3.868825722273998,3.861584471699466,3.9139075427634338,0.11086964688411445,-0.4719332345187153
2021-06-02,166.06,42.94,3.867256637168142,3.864504973139283,3.909724599473216,0.10771982924912515,-0.41978925003077194
2021-06-03,166.17,43.25,3.842080924855491,3.863035335084691,3.9040869247259473,0.10201739145052514,-0.4023979544817591
2021-06-04,166.44,43.27,3.846544950311994,3.859841387426761,3.8990094939852282,0.09696664457118188,-0.4039338138561066
2021-06-07,165.66,43.12,3.8418367346938775,3.8533089938607006,3.893974585284906,0.09173564780502082,-0.44329104767034366
2021-06-08,165.0,42.88,3.8479477611940296,3.849133401644707,3.8895118977342564,0.08716511628859637,-0.46324146411804995
2021-06-09,162.94,42.32,3.850189035916824,3.845719881394443,3.8850856885094704,0.08207577907687008,-0.4796275778041454
2021-06-10,160.4,41.69,3.847445430558887,3.8467927825351227,3.881236877849816,0.0781802748422039,-0.4405727069163395
2021-06-11,160.29,41.86,3.829192546583851,3.843322301789494,3.8769452033407505,0.07364694133754188,-0.4565417238056721
2021-06-14,157.57,41.36,3.8097195357833655,3.8368988620073914,3.872964925444587,0.07060677769980683,-0.510801719213623
2021-06-15,155.18,41.39,3.7492147861802367,3.8171522670046327,3.86834395724298,0.0694533023131459,-0.7370663241833747
2021-06-16,156.27,41.62,3.754685247477175,3.7980515093167035,3.864109334486735,0.06848566503467172,-0.964549663591484
2021-06-17,151.76,39.8,3.8130653266331658,3.7911754885315587,3.860153648196204,0.06426730469361693,-1.0733009575162167
2021-06-18,147.92,38.78,3.8143372872614747,3.7882044366670833,3.855695222676759,0.057555764845010356,-1.1726155701591163
2021-06-21,150.43,39.75,3.784402515723271,3.7831410326550645,3.8512566489212885,0.05228903069894786,-1.3026750612073323
2021-06-22,150.21,39.97,3.7580685514135603,3.784911785701729,3.8470650303279914,0.04938306123462332,-1.2585944061054997
2021-06-23,151.12,40.2,3.7592039800995023,3.785815532226195,3.8432953898849442,0.04723144845723882,-1.2169827421403094
2021-06-24,152.51,40.83,3.7352436933627233,3.770251205572106,3.8395154256224036,0.046638713220066366,-1.4851228790012267
2021-06-25,154.05,41.62,3.7013455069678045,3.747652849513372,3.8356277103060363,0.048271195847701176,-1.822512561533192
2021-06-28,154.33,41.56,3.7134263715110682,3.7334576206709316,3.832645186211739,0.0501954245570703,-1.9760280227938931
2021-06-29,154.14,40.89,3.7696258253851793,3.7357690754652553,3.8311423000519103,0.05071586664463779,-1.8805401720713537
2021-06-30,155.54,41.23,3.772495755517827,3.73842743054892,3.8299624716049903,0.051249190109720504,-1.7860778064999878
2021-07-01,157.08,41.54,3.781415503129514,3.747661792502279,3.8285124886255213,0.05137340764019955,-1.5737849567910895
2021-07-02,156.03,41.15,3.7917375455650064,3.765740200221719,3.826586367953368,0.0505287244400888,-1.2041896645104042
2021-07-06,153.41,40.07,3.8285500374344896,3.788764933406403,3.8252625853398,0.04938781939030422,-0.7390010813184933
2021-07-07,153.59,39.75,3.8638993710691825,3.807619642543204,3.8247790642901376,0.04885342322801651,-0.3512429756834961
2021-07-08,150.94,38.78,3.8922124806601337,3.8315629875716652,3.8243347589067684,0.04809857929708535,0.15027946293903985
2021-07-09,155.77,40.04,3.8903596403596405,3.85335181501769,3.8259803383356985,0.0486463890755217,0.562662043414949
2021-07-12,158.0,40.63,3.8887521535810974,3.8727547366209087,3.825326517319407,0.04750240517700609,0.9984382711732642
2021-07-13,155.65,39.86,3.9049172102358254,3.888028171181176,3.825146657285662,0.047173680097154655,1.332978766252898
2021-07-14,155.12,38.86,3.991765311374164,3.913601359242172,3.82672416015628,0.05104484770103178,1.701977829275334
2021-07-15,155.46,38.83,4.003605459696112,3.935879955049368,3.8281191601148,0.05465089354001041,1.9718029835262467
2021-07-16,151.91,37.92,4.006065400843881,3.959021107146216,3.830088363076523,0.05881216274483869,2.1922802708187743
2021-07-19,146.97,36.93,3.9796913078797727,3.977208938005951,3.832387180668749,0.061891245017695586,2.3399393128348858
2021-07-20,149.71,37.69,3.9721411514990717,3.9906537262586,3.834700644304845,0.06446786043288392,2.4190826391099867
2021-07-21,152.86,38.46,3.9745189807592305,3.987204460135614,3.8372701245686196,0.06691219821399969,2.24076236574192
2021-07-22,150.93,37.96,3.976027397260274,3.9816888476484458,3.840326783128775,0.06899488500783556,2.0488774566928667
2021-07-23,150.64,37.7,3.9957559681697608,3.9796269611136226,3.8435410854877707,0.07166243320940395,1.8989848590292338
2021-07-26,151.65,38.13,3.977183320220299,3.979125363581727,3.8469109088455324,0.07312340926219392,1.8081002523025405
