date,CVX,XOM,ratio,ins_ratio,long_mean,long_std,z_score
2022-10-31,180.9,110.81,1.6325241404205397,1.6435023111232385,1.656073144447411,0.0355547714719937,-0.3535624841260617
2022-11-01,182.22,111.91,1.6282727191493165,1.6387261787158522,1.654466410021391,0.03456653450405417,-0.45536040946461387
2022-11-02,178.5,109.61,1.6285010491743455,1.6338495731689775,1.6530159022472999,0.03377765975766911,-0.5674261987309743
2022-11-03,181.13,111.1,1.6303330333033303,1.6290933067473568,1.6517900877577043,0.033230548763791085,-0.683009515481688
2022-11-04,183.42,112.31,1.6331582227762442,1.6305578329647552,1.6504619793734925,0.03232922227128,-0.6156704371580052
2022-11-07,185.61,113.64,1.6333157338965154,1.6307161516599504,1.6493417096902077,0.03172371010545846,-0.587117899146748
2022-11-08,185.34,114.0,1.6257894736842105,1.6302195025669293,1.6481290588038928,0.031197131230217216,-0.574077023454533
2022-11-09,177.93,108.9,1.633884297520661,1.6312961522361924,1.6468580218936297,0.03016401926621259,-0.5159083582362162
2022-11-10,181.3,110.5,1.6407239819004527,1.6333743419556168,1.6456965524668803,0.02899438120022599,-0.42498615252969885
2022-11-11,186.46,113.95,1.6363317244405442,1.6340090422884768,1.6448872334290716,0.0285562128437303,-0.3809395594620394
2022-11-14,186.55,113.37,1.6454970450736526,1.6364453045239042,1.6443767391689614,0.028260534714715378,-0.2806540897093238
2022-11-15,188.05,114.13,1.6476824673617807,1.640823903259418,1.644021923857945,0.028079574900828286,-0.11389134663974503
2022-11-16,184.99,112.91,1.6383845540696131,1.6417239545692088,1.6437790133645476,0.028063986834180574,-0.07322761400514113
2022-11-17,184.09,113.06,1.6282504864673624,1.6392292554825907,1.6433264085352977,0.02809224914979233,-0.14584638740957692
2022-11-18,182.99,112.08,1.6326730906495361,1.638497528724389,1.6428489934837387,0.02802463015106848,-0.15527287018215155
2022-11-21,181.24,110.97,1.6332342074434534,1.636044961198349,1.642241832944672,0.02782777033408932,-0.2226866066496086
2022-11-22,185.89,114.18,1.6280434401821684,1.6321171557624268,1.6419704434838645,0.027886431731019488,-0.35333626820664066
2022-11-23,184.24,113.61,1.6216882316697474,1.6287778912824535,1.6412029208299541,0.027798763874016877,-0.4469633831133794
2022-11-25,183.7,113.21,1.6226481759561877,1.6276574291802188,1.6406883863841704,0.02785257268338915,-0.46785470599356865
2022-11-28,178.36,109.81,1.6242600856024043,1.6259748281707922,1.6401431810000393,0.027848581879935858,-0.5087638893187241
2022-11-29,181.03,110.54,1.6376877148543514,1.626865529652972,1.6399159202445432,0.02781141129989733,-0.46924589517754867
